order_id,order_date,completed_date,product_type,ordered_quantity,produced_quantity,defect_count,unit_price,is_injected_anomaly
HIST-0001,2025-01-01,2025-01-07,Folding Carton,737,782,23,4873,0
HIST-0002,2025-01-02,2025-01-07,Folding Carton,727,750,24,4141,0
HIST-0003,2025-01-03,2025-01-06,Product Label,2932,3068,101,774,0
HIST-0004,2025-01-04,2025-01-08,Corrugated Box,409,427,12,6989,0
HIST-0005,2025-01-05,2025-01-11,Folding Carton,839,856,28,5110,0
HIST-0006,2025-01-06,2025-01-12,Folding Carton,914,963,19,3480,0
HIST-0007,2025-01-07,2025-01-12,Folding Carton,750,790,29,5546,0
HIST-0008,2025-01-08,2025-01-14,Corrugated Box,570,582,20,7028,0
HIST-0009,2025-01-09,2025-01-15,Folding Carton,717,741,7,5101,0
HIST-0010,2025-01-10,2025-01-17,Folding Carton,889,949,19,4600,0
HIST-0011,2025-01-11,2025-01-17,Corrugated Box,625,638,11,6222,0
HIST-0012,2025-01-12,2025-01-16,Corrugated Box,406,418,11,6938,0
HIST-0013,2025-01-13,2025-01-18,Corrugated Box,604,639,13,7099,0
HIST-0014,2025-01-14,2025-01-17,Product Label,2132,2264,67,702,0
HIST-0015,2025-01-15,2025-01-21,Flexible Pouch,1849,1936,66,2190,0
HIST-0016,2025-01-16,2025-01-21,Product Label,2430,2523,11,849,0
HIST-0017,2025-01-17,2025-01-21,Flexible Pouch,2095,2227,58,1622,0
HIST-0018,2025-01-18,2025-01-22,Product Label,3013,3148,40,1140,0
HIST-0019,2025-01-19,2025-01-26,Flexible Pouch,2088,2143,63,2208,0
HIST-0020,2025-01-20,2025-01-25,Corrugated Box,473,499,4,5666,0
HIST-0021,2025-01-21,2025-01-24,Product Label,2867,2939,85,679,0
HIST-0022,2025-01-22,2025-01-27,Flexible Pouch,3166,3280,10,1924,0
HIST-0023,2025-01-23,2025-01-28,Flexible Pouch,1675,1792,42,1675,0
HIST-0024,2025-01-24,2025-01-27,Corrugated Box,531,551,11,5568,0
HIST-0025,2025-01-25,2025-01-31,Folding Carton,851,915,34,5738,0
HIST-0026,2025-01-26,2025-02-04,Folding Carton,626,669,10,3992,0
HIST-0027,2025-01-27,2025-02-01,Corrugated Box,442,458,11,7338,0
HIST-0028,2025-01-28,2025-02-02,Folding Carton,880,945,9,4182,0
HIST-0029,2025-01-29,2025-02-04,Folding Carton,1084,1126,32,4612,0
HIST-0030,2025-01-30,2025-02-05,Corrugated Box,501,519,23,7496,0
HIST-0031,2025-01-31,2025-02-08,Folding Carton,580,597,27,3542,0
